,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
228,深圳市点证科技有限公司,点证,50-150人,未融资,福田区,Android开发工程师,1-3年,本科,12k-16k,"五险一金,带薪年假,定期体检,提供工作餐",科技金融,开发|测试|运维类,"定期体检,股票期权,年终分红,年度旅游",移动前端开发,深圳
229,深圳领域天马网络有限公司,领域天马,15-50人,天使轮,南山区,Android开发工程师,3-5年,不限,10k-18k,"晋升空间,福利好,氛围好,领导好",移动互联网,开发|测试|运维类,"股票期权,弹性工作,领导好,扁平管理",移动前端开发,深圳
230,杭州粉象家科技有限公司,粉象生活,150-500人,A轮,西湖区,Android开发工程师,5-10年,本科,16k-20k,技术挑战 发展空间 高薪＋期权,消费生活,开发|测试|运维类,"年底双薪,带薪年假,股票期权,扁平管理",移动前端开发,杭州
231,腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,高新区,Android高级开发工程师,5-10年,本科,20k-40k,大厂待遇,"游戏,社交媒体,音频｜视频媒体",开发|测试|运维类,"免费班车,成长空间,年度旅游,岗位晋升",移动前端开发,成都
232,腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,徐汇区,高级Android开发工程师,3-5年,本科,25k-50k,福利待遇/年终奖/职业发展,"游戏,社交媒体,音频｜视频媒体",开发|测试|运维类,"免费班车,成长空间,年度旅游,岗位晋升",移动前端开发,上海
233,上海原圈网络科技有限公司,原圈科技,150-500人,A轮,闵行区,android开发工程师,3-5年,本科,15k-21k,绩效奖金 双休 加班补贴 餐补 年假,"软件服务｜咨询,营销服务｜咨询",开发|测试|运维类,"午餐补助,带薪年假,定期体检,股票期权",移动前端开发,上海
234,四川迅游网络科技股份有限公司,迅游网络,150-500人,上市公司,朝阳区,android开发工程师,5-10年,本科,20k-30k,可解除底层linux c++ 公司有转岗机制,"工具类产品,游戏",开发|测试|运维类,"绩效奖金,专项奖金,五险一金,交通补助",移动前端开发,北京
235,北京花房科技有限公司,北京花房科技有限公司,500-2000人,D轮及以上,海淀区,Android,3-5年,本科,15k-25k,五险一金，扁平管理，带薪年假...,"移动互联网,社交",开发|测试|运维类,"年底双薪,带薪年假,岗位晋升,年度旅游",移动前端开发,北京
236,北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,朝阳区,Android开发工程师,1-3年,本科,25k-35k,核心业务、上升空间大,在线教育,开发|测试|运维类,"股票期权,年底双薪,五险一金,带薪年假",移动前端开发,北京
237,北京流量宝科技有限公司,流量宝,15-50人,不需要融资,朝阳区,android安卓逆向,1-3年,本科,15k-30k,学习提高快，福利待遇好，工作环境优,"信息安全,人工智能",开发|测试|运维类,,运维,北京
238,四川牙易在线网络科技有限公司,牙e在线,150-500人,不需要融资,金牛区,Android开发工程师,1-3年,不限,7k-13k,"成长培训,吃住全包,发展空间,职位升迁",在线医疗,开发|测试|运维类,"午餐补助,定期体检,绩效奖金,专项奖金",移动前端开发,成都
239,深圳麦风科技有限公司,麦风科技,150-500人,不需要融资,南山区,android开发工程师,3-5年,本科,12k-18k,"五险一金，晋升机会多,年终奖多",软件服务｜咨询,开发|测试|运维类,"节日礼物,年底双薪,带薪年假,绩效奖金",移动前端开发,深圳
240,四川牙易在线网络科技有限公司,牙e在线,150-500人,不需要融资,金牛区,Android,不限,不限,7k-12k,"成长培训,吃住全包,发展空间,职位升迁",在线医疗,开发|测试|运维类,"午餐补助,定期体检,绩效奖金,专项奖金",移动前端开发,成都
