,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
333,杭州宇泛智能科技有限公司,Uni-Ubi,150-500人,B轮,余杭区,深度学习-算法工程师,1-3年,硕士,15k-30k,美女多，六险一金，下午茶，春节假期长,智能硬件,开发|测试|运维类,"股票期权,带薪年假,定期体检,年度旅游",人工智能,杭州
334,易居（中国）企业管理集团有限公司,易居中国,2000人以上,上市公司,静安区,算法工程师,3-5年,本科,20k-30k,上市公司、创新项目、发展空间大,"房地产｜建筑｜物业,居住服务",开发|测试|运维类,,人工智能,上海
335,广州富港万嘉智能科技有限公司,富港万嘉,50-150人,未融资,番禺区,算法工程师,1-3年,本科,12k-24k,5天7小时 年终奖 奖金,智能硬件,开发|测试|运维类,,人工智能,广州
336,广州卓牛信息科技有限公司,卓牛科技,50-150人,不需要融资,天河区,算法工程师,不限,本科,20k-35k,"上升空间大,行业前景好,团队优秀,成长速度快",工具类产品,开发|测试|运维类,"扁平管理,团队优秀,发展空间大,项目奖金",企业软件,广州
337,丰疆智能（深圳）有限公司,丰疆智能,150-500人,A轮,南山区,【深圳】GNSS算法工程师,1-3年,硕士,20k-35k,周末双休,智能硬件,开发|测试|运维类,,人工智能,深圳
338,丰疆智能（深圳）有限公司,丰疆智能,150-500人,A轮,南山区,图像算法工程师,1-3年,硕士,20k-30k,周末双休,智能硬件,开发|测试|运维类,,人工智能,深圳
339,北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,高级深度学习算法工程师（42280）,3-5年,硕士,30k-45k,大平台 发展潜力大,内容资讯,开发|测试|运维类,"技能培训,节日礼物,带薪年假,绩效奖金",人工智能,北京
340,燧人（上海）医疗科技有限公司,燧人医疗,50-150人,不需要融资,浦东新区,算法工程师,3-5年,硕士,25k-45k,绿谷制药子公司，晋升快，领导nice,在线医疗,开发|测试|运维类,,人工智能,上海
341,南京蓝鲸人网络科技有限公司,美篇,150-500人,B轮,海淀区,推荐算法工程师（排序） (MJ000019),3-5年,本科,30k-50k,六险一金 免费晚餐 下午茶,内容社区,开发|测试|运维类,"弹性工作,期权激励,六险一金,租房补贴",人工智能,北京
342,墨奇科技（北京）有限公司,墨奇科技,50-150人,A轮,海淀区,算法工程师,不限,硕士,30k-50k,大牛带队、工程师文化、成长机会,人工智能服务,开发|测试|运维类,"股票期权,带薪年假,绩效奖金,定期体检",人工智能,北京
343,依瞳科技（深圳）有限公司,依瞳科技,50-150人,A轮,南山区,算法工程师,在校/应届,本科,15k-20k,大牛带团技术指导，进步快待遇好,"人工智能服务,软件服务｜咨询",开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,交通补助",人工智能,深圳
344,万翼科技有限公司,万科,2000人以上,上市公司,南山区,OCR算法工程师,3-5年,硕士,20k-40k,"世界五百强,地产龙头,薪资福利佳,挑战大",房地产｜建筑｜物业,开发|测试|运维类,"绩效奖金,岗位晋升,管理规范,通讯津贴",人工智能,深圳
345,深圳开思时代科技有限公司,开思时代,500-2000人,C轮,龙岗区,算法工程师,在校/应届,硕士,12k-15k,大牛导师 团队精良 平台发展迅猛,电商平台,开发|测试|运维类,"节日礼物,年底双薪,股票期权,扁平管理",人工智能,深圳
346,深圳市瑞达飞行科技有限公司,瑞达飞行,15-50人,未融资,南山区,算法工程师,1-3年,本科,15k-25k,发展前景良好，平台好，团队氛围好,"网络通信,数据服务｜咨询",开发|测试|运维类,"年底双薪,带薪年假,通讯津贴,绩效奖金",人工智能,深圳
347,北京英特美迪科技有限公司,英特美迪,15-50人,A轮,海淀区,深度学习算法工程师,3-5年,硕士,25k-50k,带薪年假 年终奖 弹性工作 节日福利,人工智能服务,开发|测试|运维类,"年底双薪,午餐补助,带薪年假,股票期权",人工智能,北京
348,北京志翔科技股份有限公司,志翔科技,150-500人,C轮,海淀区,算法工程师,不限,本科,20k-30k,全额公积金、年终奖、午餐补助,"数据服务｜咨询,信息安全",开发|测试|运维类,"年底双薪,股票期权,带薪年假,绩效奖金",人工智能,北京
349,北京翠鸟视觉科技有限公司,翠鸟视觉,50-150人,天使轮,海淀区,算法工程师,不限,硕士,20k-40k,新锐行业 大牛指导 薪资优渥 福利健全,智能硬件,开发|测试|运维类,"带薪年假,定期体检,午餐补助,弹性工作",人工智能,北京
350,北京人人云图信息技术有限公司,人人云图,15-50人,A轮,海淀区,算法工程师,1-3年,硕士,10k-20k,发展空间大,数据服务｜咨询,开发|测试|运维类,"股票期权,弹性工作,扁平管理,五险一金",人工智能,北京
351,北京人人云图信息技术有限公司,人人云图,15-50人,A轮,武昌区,算法工程师,3-5年,硕士,15k-30k,六险一金、双休,数据服务｜咨询,开发|测试|运维类,"股票期权,弹性工作,扁平管理,五险一金",人工智能,武汉
352,深圳世盟信息科技有限公司,世盟信息,150-500人,B轮,南山区,算法工程师,3-5年,本科,20k-40k,团队实力佳，福利待遇好,软件服务｜咨询,开发|测试|运维类,,人工智能,深圳
353,上海氪信信息技术有限公司,CraiditX,50-150人,C轮,长宁区,算法工程师,1-3年,硕士,15k-25k,人工智能,人工智能服务,开发|测试|运维类,"股票期权,带薪年假,定期体检,专项奖金",人工智能,上海
354,北京儒博科技有限公司,roobo,150-500人,B轮,朝阳区,算法工程师,3-5年,硕士,25k-35k,AI+教育 扁平化管理 技术先进,智能硬件,开发|测试|运维类,"年底双薪,节日礼物,技能培训,年度旅游",人工智能,北京
355,杉数科技（北京）有限公司,杉数科技,50-150人,B轮,杨浦区,算法工程师-机器学习方向,不限,硕士,20k-40k,优质团队 六险一金 周末双休 氛围轻松,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"带薪年假,午餐补助,弹性工作,年度旅游",人工智能,上海
356,杉数科技（北京）有限公司,杉数科技,50-150人,B轮,杨浦区,算法工程师-运筹优化方向,不限,硕士,20k-40k,优质团队 六险一金 周末双休 氛围轻松,"数据服务｜咨询,人工智能服务",开发|测试|运维类,"带薪年假,午餐补助,弹性工作,年度旅游",人工智能,上海
