,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
81,中电金信软件有限公司,中电金信,2000人以上,不需要融资,西城区,数据库开发工程师,3-5年,大专,12k-24k,技术新,"IT技术服务｜咨询,软件服务｜咨询",开发|测试|运维类,"带薪年假,定期体检,节日礼物,五险一金",数据开发,北京
82,易宝支付有限公司,易宝支付,500-2000人,D轮及以上,朝阳区,高级dba工程师,5-10年,本科,30k-40k,产品稳定、大牛带队、发展空间大、福利待遇好,科技金融,开发|测试|运维类,"导师制,双通道发展,领导牛,内部创业",运维,北京
83,上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,浦东新区,数据库工程师,1-3年,本科,12k-17k,五险一金 过节福利 生日礼金 旅游 体检等,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,运维,上海
84,广州细刻网络科技有限公司,细刻科技,500-2000人,A轮,朝阳区,DBA,3-5年,本科,16k-24k,五险一金 晋升机制 带薪年假 多次调薪,电商平台,开发|测试|运维类,,运维,北京
85,上海亘岩网络科技有限公司,契约锁,150-500人,B轮,闵行区,mysql dba,1-3年,本科,12k-17k,团队氛围好，技术新,工具类产品,开发|测试|运维类,"五险一金,岗位晋升,带薪年假,领导好",运维,上海
86,深圳金蝶账无忧网络科技有限公司,金蝶账无忧,50-150人,不需要融资,南山区,dba数据库管理员,5-10年,本科,16k-26k,提升数据库设计优化及部署的全局把控能力,企业服务,开发|测试|运维类,"带薪年假,通讯津贴,定期体检,领导好",运维,深圳
87,即科金融信息服务（上海）有限公司,GeexFinance,500-2000人,不需要融资,杨浦区,dba,3-5年,本科,15k-30k,晋升空间,科技金融,开发|测试|运维类,"互联网金融,技能培训,五角场,年度旅游",运维,上海
88,成都中科大旗软件股份有限公司,中科大旗软件,150-500人,A轮,高新区,dba,3-5年,本科,10k-15k,福利待遇丰富，发展前景广阔,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,运维,成都
89,江西国泰利民信息科技有限公司,国泰利民,150-500人,未融资,洪山区,dba工程师,3-5年,本科,10k-18k,五险一金、节假日福利、双休等,"数据服务｜咨询,人工智能服务,IT技术服务｜咨询",开发|测试|运维类,"年底双薪,股票期权,带薪年假,午餐补助",运维,武汉
90,深圳瑞银信信息技术有限公司,瑞银信,2000人以上,不需要融资,高新区,dba,3-5年,大专,10k-15k,"五险一金,年终奖,餐补,节日福利",科技金融,开发|测试|运维类,"带薪年假,管理规范,五险一金,岗位晋升",运维,济南
91,广州大白互联网科技有限公司,大白互联,50-150人,未融资,海珠区,数据库运维工程师,3-5年,本科,10k-20k,领导nice、五险一金、周末双休、绩效奖金,移动互联网,开发|测试|运维类,"五险一金,领导好,帅哥多,美女多",数据开发,广州
92,浙江深大智能科技有限公司,浙江深大智能科技有限公司,500-2000人,B轮,西湖区,dba,5-10年,大专,20k-40k,周末双休 节日福利 晋升机制,"移动互联网,旅游",开发|测试|运维类,"帅哥美女多,高大上办公区,免费旅游,人性化管理",运维,杭州
93,成都玛尔斯科技有限公司,成都玛尔斯科技有限公司,150-500人,未融资,高新区,高级DBA工程师,5-10年,本科,15k-30k,弹性打卡，五险一金，14薪,IT技术服务｜咨询,开发|测试|运维类,,运维,成都
94,北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,高级DBA工程师,3-5年,本科,25k-45k,完善的福利,社交平台,开发|测试|运维类,"岗位晋升,帅哥多,管理规范,技能培训",运维,北京
95,北京国都互联科技有限公司,国都互联,50-150人,上市公司,海淀区,数据库工程师,3-5年,本科,10k-20k,福利待遇好，有发展前景,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"技能培训,节日礼物,绩效奖金,年度旅游",数据开发,北京
96,招商银行股份有限公司信用卡中心,招商银行信用卡中心,2000人以上,上市公司,浦东新区,数据库工程师,3-5年,本科,25k-40k,职位晋升 免费班车 年轻团队,科技金融,开发|测试|运维类,"金融科技银行,技术创新驱动,奋斗独立改变,一年两次调薪",运维,上海
97,北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,海淀区,商业平台-DBA/数据库工程师,3-5年,本科,20k-40k,百亿级广告数据，公司级RDS私有云平台建设。,工具类产品,开发|测试|运维类,"岗位晋升,扁平管理,管理规范,精英团队",运维,北京
98,北京天鹏恒宇科技发展有限公司,天鹏恒宇,150-500人,不需要融资,海淀区,Oracle DBA,3-5年,不限,20k-35k,"五险一金,出差补助,餐补,带薪年假",IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,五险一金,带薪年假,午餐补助",运维,北京
99,煜象科技（杭州）有限公司,煜象科技,150-500人,B轮,西湖区,DBA数据库工程师,3-5年,本科,12k-18k,阿里云平台,"软件服务｜咨询,数据服务｜咨询",开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,定期体检",运维,杭州
100,煜象科技（杭州）有限公司,煜象科技,150-500人,B轮,西湖区,dba数据库工程师,3-5年,本科,11k-18k,阿里云平台,"软件服务｜咨询,数据服务｜咨询",开发|测试|运维类,"年底双薪,绩效奖金,带薪年假,定期体检",运维,杭州
101,达内时代科技集团有限公司,达内集团,2000人以上,上市公司,海淀区,DBA工程师,3-5年,本科,15k-30k,上市平台,教育｜培训,开发|测试|运维类,"技能培训,股票期权,专项奖金,带薪年假",运维,北京
