,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
36,北京果壳互动科技传媒有限公司,果壳,150-500人,C轮,朝阳区,前端开发工程师（数据可视化方向）,1-3年,本科,10k-20k,七险一金，免费三餐，弹性工作，领域大牛,"短视频,新零售",开发|测试|运维类,"技能培训,年度旅游,岗位晋升,家庭式三餐",移动前端开发,北京
37,上海贯信信息技术有限公司,贯信信息,50-150人,不需要融资,杨浦区,高级大数据开发工程师,5-10年,本科,25k-35k,有补贴、带薪休假、福利好,电商平台,开发|测试|运维类,"带薪年假,午餐补助,交通补助,通讯津贴",数据开发,上海
38,上海蔚来汽车有限公司,NIO蔚来,2000人以上,上市公司,嘉定区,资深数据中台开发工程师,5-10年,本科,30k-45k,六险一金；股票,新能源汽车制造,开发|测试|运维类,"年底双薪,带薪年假,通讯津贴,交通补助",数据开发,上海
39,云账户（天津）共享经济信息咨询有限公司,云账户,150-500人,C轮,朝阳区,高级数据开发工程师,不限,本科,25k-50k,五险一金，住房补贴，补充医疗保险,数据服务｜咨询,开发|测试|运维类,"带薪年假,绩效奖金,定期体检,自助午/晚餐",数据开发,北京
40,广东德生科技股份有限公司,德生科技,500-2000人,上市公司,天河区,大数据开发工程师,1-3年,本科,10k-15k,上市企业、年底双薪+年终奖,移动互联网,开发|测试|运维类,"五险一金,交通补助,带薪年假,免费班车",数据开发,广州
41,成都延华西部健康医疗信息产业研究院有限公司,延华医疗研究院,150-500人,上市公司,温江区,高级大数据开发工程师,3-5年,本科,10k-20k,工作环境好 团队氛围融洽,"IT技术服务｜咨询,数据服务｜咨询",开发|测试|运维类,"股票期权,绩效奖金,带薪年假,交通补助",数据开发,成都
42,上海华钦信息科技股份有限公司,CLPS,500-2000人,上市公司,浦东新区,大数据开发工程师,1-3年,本科,15k-20k,14天带薪年假，全额社保公积金,软件服务｜咨询,开发|测试|运维类,"专项奖金,带薪年假,定期体检,交通补助",数据开发,上海
43,广州伊的家网络科技有限公司,伊的家,2000人以上,不需要融资,番禺区,数据仓库开发工程师,3-5年,本科,20k-25k,13~17薪、年轻团队、大平台、技术成长,电商平台,开发|测试|运维类,"绩效奖金,专项奖金,股票期权,节日礼物",数据开发,广州
44,北京字节跳动科技有限公司,字节跳动,2000人以上,D轮及以上,,后端开发工程师 - 电商数据产品方向,不限,本科,25k-50k,"下午茶,健身瑜伽,六险一金,五险一金","内容资讯,短视频",开发|测试|运维类,"扁平管理,弹性工作,就近租房补贴,六险一金",后端开发,上海
45,北京聚量广告传媒有限公司,聚量传媒,50-150人,不需要融资,朝阳区,大数据开发工程师,3-5年,本科,15k-25k,五险一金、双休,营销服务｜咨询,开发|测试|运维类,,数据开发,北京
46,深圳数鉴科技有限公司,数鉴科技,15-50人,天使轮,南山区,数据开发工程师,不限,本科,20k-25k,已盈利的创业团队 前景广,"数据服务,软件开发",开发|测试|运维类,,数据开发,深圳
47,深圳市华思达数据技术有限公司,华思达,15-50人,不需要融资,宝安区,大数据开发工程师,5-10年,本科,20k-28k,相比同行，薪资竞争力高,数据服务,开发|测试|运维类,,数据开发,深圳
48,深圳市华思达数据技术有限公司,华思达,15-50人,不需要融资,滨江区,数据开发工程师,3-5年,大专,18k-28k,相比同行，薪资竞争力高,数据服务,开发|测试|运维类,,数据开发,杭州
49,伯恩光学（惠州）有限公司,伯恩光学,2000人以上,未融资,坪山新区,BI工程师,1-3年,本科,8k-12k,丰富项目经验，发挥所长,其他,开发|测试|运维类,,数据开发,深圳
50,伯恩光学（惠州）有限公司,伯恩光学,2000人以上,未融资,惠阳区,BI工程师,1-3年,本科,8k-12k,丰富项目经验，发挥所长,其他,开发|测试|运维类,,数据开发,惠州
51,北京字节跳动科技有限公司,字节跳动,2000人以上,D轮及以上,海淀区,大数据开发工程师,不限,本科,25k-50k,"下午茶,健身瑜伽,六险一金,五险一金","内容资讯,短视频",开发|测试|运维类,"扁平管理,弹性工作,就近租房补贴,六险一金",数据开发,北京
52,深圳虾皮信息科技有限公司,Shopee,500-2000人,上市公司,南山区,数据仓库高级开发工程师,3-5年,本科,30k-50k,新加坡外企，周末双休，大牛多,电商平台,开发|测试|运维类,"外企氛围,蓝海市场,大牛多多,15天年假",数据开发,深圳
53,北京百家科技集团有限公司,跟谁学,2000人以上,上市公司,海淀区,数据仓库开发工程师,3-5年,本科,30k-60k,上市公司、股票、七险一金,在线教育,开发|测试|运维类,"节日礼物,技能培训,股票期权,精英团队",数据开发,北京
54,威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,C轮,天河区,大数据java开发工程师,1-3年,本科,15k-30k,大数据 多绩效 BI 数据仓储,数据服务｜咨询,开发|测试|运维类,"股票期权,专项奖金,带薪年假,弹性工作",后端开发,广州
55,北京声智科技有限公司,声智科技,150-500人,B轮,海淀区,数据仓库开发工程师,3-5年,本科,15k-25k,平台增速快 福利多 人工智能平台前景大,人工智能服务,开发|测试|运维类,"股票期权,五险一金,技能培训,岗位晋升",数据开发,北京
56,北京芯盾时代科技有限公司,Trusfort芯盾时代,150-500人,C轮,高新区,大数据开发工程师,3-5年,本科,10k-20k,"五险一金,工作居住证,节日福利,出国旅游","软件服务｜咨询,智能硬件",产品|需求|项目类,"股票期权,内荐重奖,餐补话补,关爱假期",数据分析,成都
